starname,ra_act,dec_act,x_act_mx1,x_act_mx2,x_act_mx3,x_act_my3,x_act_my4,x_act_px1,x_act_px2,x_act_px3,x_act_py1,x_act_py2,x_act_py3,x_act_py4,x_img_mx1,x_img_mx2,x_img_mx3,x_img_my3,x_img_my4,x_img_px1,x_img_px2,x_img_px3,x_img_py1,x_img_py2,x_img_py3,x_img_py4,y_act_mx1,y_act_mx2,y_act_mx3,y_act_my3,y_act_my4,y_act_px1,y_act_px2,y_act_px3,y_act_py1,y_act_py2,y_act_py3,y_act_py4,y_img_mx1,y_img_mx2,y_img_mx3,y_img_my3,y_img_my4,y_img_px1,y_img_px2,y_img_px3,y_img_py1,y_img_py2,y_img_py3,y_img_py4,v_global_x,v_global_y,v_global_z,err_mag_mx3,err_r_mx3,err_ang_mx3,err_mag_py3,err_r_py3,err_ang_py3,err_mag_my3,err_r_my3,err_ang_my3,err_mag_px1,err_r_px1,err_ang_px1,err_mag_px3,err_r_px3,err_ang_px3,err_mag_mx2,err_r_mx2,err_ang_mx2,err_mag_my4,err_r_my4,err_ang_my4,err_mag_px2,err_r_px2,err_ang_px2,err_mag_py4,err_r_py4,err_ang_py4,err_mag_py2,err_r_py2,err_ang_py2,err_mag_mx1,err_r_mx1,err_ang_mx1,err_mag_py1,err_r_py1,err_ang_py1
12Li,223.584,-24.642,,,,,,,,,1434.995,,,,,,,,,,,,1435.9,,,,,,,,,,,,872.913,,,,,,,,,,,,869.38,,,,-0.6583970623089475,-0.6266325502768644,-0.4169471852362853,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,,,84.85926015492574,3.6470692343305564,685.2667906735304,84.85926015492574
1Cen,206.422,-33.044,,,,,,,,,872.833,,,,,,,,,,,,874.55,,,,,,,,,,,,883.127,,,,,,,,,,,,883.5,,,,-0.7506890671402778,-0.3730046298274668,-0.5452829271152123,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,,,34.887683685125715,1.7570480926827194,169.15230563016274,34.887683685125715
1Lup,228.656,-31.519,,,,,,,,,1416.363,,,,,,,,,,,,1415.39,,,,,,,,,,,,602.158,,,,,,,,,,,,599.12,,,,-0.5631211904094223,-0.6399955124270919,-0.522781282167848,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,,,94.01854142108104,3.1900114419857464,675.2136228631648,94.01854142108104
2Cen,207.361,-34.451,,,,,,,,,875.159,,,,,,,,,,,,876.53,,,,,,,,,,,,833.176,,,,,,,,,,,,833.6,,,,-0.7323598350207136,-0.3789870616364761,-0.5657012278231179,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,,,93.243282232923,1.4350668973953546,138.51653655791426,93.243282232923
2Lup,229.458,-30.149,,,,,,,,,1465.766,,,,,,,,,,,,1464.88,,,,,,,,,,,,622.536,,,,,,,,,,,,619.11,,,,-0.562074000419912,-0.6571280792943989,-0.5022504409702507,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,,,93.06424301849499,3.5387104996028524,719.2150558073713,93.06424301849499
3Crv,182.766,-23.602,,,,,,,,,337.56,,,,,,,,,,,,343.63,,,,,,,,,,,,1406.562,,,,,,,,,,,,1410.0,,,,-0.9152811616286775,-0.04422029473723204,-0.4003810194065287,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,,,68.90632069604608,6.976012041274056,772.0738998955994,68.90632069604608
47Hya,209.63,-24.972,,,,,,,,,1068.532,,,,,,,,,,,,1071.32,,,,,,,,,,,,1072.526,,,,,,,,,,,,1071.29,,,,-0.787974950884752,-0.448177964639328,-0.4221753057557039,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,,,68.85766177208909,3.049695066723937,440.9588603259945,68.85766177208909
48Hya,210.0,-25.01,,,,,,,,,1077.488,,,,,,,,,,,,1080.23,,,,,,,,,,,,1066.522,,,,,,,,,,,,1065.23,,,,-0.7848216765393577,-0.4531170062158517,-0.4227764358522547,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,,,35.846155469896345,3.0311430187306527,443.10107853626357,35.846155469896345
4Cen,208.302,-31.931,,,,,,,,,932.632,,,,,,,,,,,,934.4,,,,,,,,,,,,892.248,,,,,,,,,,,,892.29,,,,-0.747234450528078,-0.4023779438448769,-0.5288975952404874,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,,,80.9750589510882,1.7684987984163563,219.59780076312234,80.9750589510882
4Li,220.807,-24.998,,,,,,,,,1355.575,,,,,,,,,,,,1356.85,,,,,,,,,,,,909.062,,,,,,,,,,,,906.03,,,,-0.68600932338109,-0.592293636881022,-0.4225866253733916,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,,,65.88451873204195,3.289171476223137,615.0593982697931,65.88451873204195
50Hya,213.192,-27.261,,,,,,,,,1122.471,,,,,,,,,,,,1124.4,,,,,,,,,,,,959.561,,,,,,,,,,,,958.09,,,,-0.7438922033348423,-0.4866410867506238,-0.45804458571606943,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,2.4258775731681816,415.43952399837946,69.41681698623475
51Hya,215.774,-27.754,,,,,,,,,1178.236,,,,,,,,,,,,1179.74,,,,,,,,,,,,909.601,,,,,,,,,,,,907.81,,,,-0.7179899201241422,-0.5173355346777974,-0.46567630298283963,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,2.3387383350858015,445.64280954594113,69.83026438917287
