starname,ra_act,dec_act,x_img_mx3,y_img_mx3,x_act_mx3,y_act_mx3
alpha Aps,221.96514474094425,-79.0447494913737,1146.449951171875,1230.0899658203125,1146.891314237299,1228.2969594035003
alpha Cir,220.6167979775984,-64.97855606418186,689.8800048828125,1230.4000244140625,690.0989858232648,1229.114433922275
alpha Lup,220.48245447118114,-47.38816844685872,99.08000183105469,1238.5,98.87108355481178,1238.2017264189801
alpha Mus,189.2956426966246,-69.13544240993923,900.6599731445312,884.3800048828125,900.3999537681639,882.7039536109077
alpha Vol,135.61180710953008,-66.39616463216146,1361.25,432.3299865722656,1360.7548429427202,429.58854866088905
alpha1 centaurus,219.90067172406194,-60.835359839545355,556.5399780273438,1221.199951171875,556.5578115681749,1220.2610034099514
alpha1 crucis,186.64975937004945,-63.09902650621202,752.1799926757812,764.9099731445312,751.6307440153595,763.373159076605
alpha2 centaurus,219.90067172406194,-60.835359839545355,556.5499877929688,1221.219970703125,556.5578115681749,1220.2610034099514
alpha2 crucis,186.64975937004945,-63.09902650621202,752.1699829101562,764.9500122070312,751.6307440153595,763.373159076605
beta Aps,250.7696051962683,-77.51750356038411,1165.4200439453125,1439.2099609375,1166.1718735231382,1437.5221736558487
beta Car,138.3003252806887,-69.71719495307075,1353.030029296875,548.2100219726562,1352.6860056098535,545.5886713074921
beta Cen,210.95605869481992,-60.372970442030166,554.4099731445312,1077.1600341796875,554.1984606117833,1076.120854117583
beta Cha,184.58599040717678,-79.31216971842449,1205.280029296875,1011.8699951171875,1205.4574370040891,1009.8434880614873
beta Cir,229.3784836077583,-58.801249237060546,496.92999267578125,1389.1800537109375,497.17286268674286,1388.3932388134522
beta Cru,191.93035864046823,-59.68869546169705,622.0399780273438,785.3599853515625,621.4347693687766,784.0373808644506
beta Hya,178.22729696311058,-33.90791819254557,26.290000915527344,59.52000045776367,24.141314604030867,58.515960572934546
beta Mus,191.57039290296333,-68.10816514078776,860.4500122070312,893.1400146484375,860.1796771130071,891.5346333243809
beta TrA,238.78554847848648,-63.43058460489909,679.1500244140625,1508.5699462890625,679.6756582515917,1507.5896371381796
beta Vol,126.43411637251964,-66.13699796549479,1491.6400146484375,399.54998779296875,1491.2301452542551,396.5782602490958
delta Cen,182.08971064522768,-50.72241717529297,462.79998779296875,492.3699951171875,461.6280402681041,491.05908778913044
delta Cir,229.23637884323486,-60.95741742960612,568.0499877929688,1374.7099609375,568.3034377592533,1373.8146384348097
delta Cru,183.78614005049457,-58.74883358764649,659.0800170898438,657.969970703125,658.3068959599289,656.4870706119208
delta Mus,195.56793912892974,-71.54891615804037,942.25,976.260009765625,942.1631563943135,974.598328438205
delta Oct,216.72858842312823,-83.66780301242405,1302.0899658203125,1203.6400146484375,1302.6151425514777,1201.606372686796
delta Vel,131.17596767640813,-54.70827854071723,1367.8800048828125,9.550000190734863,1366.7978116436243,6.369943396931603
delta1 aps,245.08659031118498,-78.69580657280817,1179.3199462890625,1382.5899658203125,1179.9984812316047,1380.8385998030494
delta1 chamaeleontis,161.31531038289378,-80.46972273084853,1325.489990234375,942.3599853515625,1325.6681370878487,940.1035784541691
delta2 aps,245.1116404695278,-78.66733079020182,1178.530029296875,1383.1600341796875,1179.2148795862026,1381.414628771191
delta2 chamaeleontis,161.4436648446503,-80.5402494913737,1326.3499755859375,944.6599731445312,1326.5319853720512,942.4021425318317
epsilon Aps,215.59448488129303,-80.10888736300998,1180.4100341796875,1191.6099853515625,1180.8177079149207,1189.7379277497416
epsilon Car,125.62847110975814,-59.5095,1495.739990234375,162.6300048828125,1495.0085941471539,159.39681348227327
epsilon Cen,204.9719728150377,-53.46630631849501,358.9100036621094,933.0999755859375,358.35370927500185,932.2663094396861
epsilon Cha,179.90521683012415,-78.22188939751518,1191.6700439453125,967.4000244140625,1191.7702969646841,965.3573409020786
epsilon Cir,229.41185326821497,-63.610498474121094,655.1199951171875,1362.9000244140625,655.408507874041,1361.8764325696905
epsilon Cru,185.3397773012286,-60.40122374810113,689.8900146484375,705.8499755859375,689.2188916152293,704.3567303350003
epsilon Mus,184.3922355739465,-67.96071917046442,896.510009765625,817.719970703125,896.1499349692441,816.0084952163346
epsilon TrA,234.17990871246207,-66.31719342719184,754.9199829101562,1413.260009765625,755.3599360218576,1412.1236805957174
eta Aps,214.55670759277604,-81.00761111111112,1210.8199462890625,1188.0799560546875,1211.2412400974524,1186.1602213792978
eta Cha,130.33206603512306,-78.9634691704644,1485.6500244140625,834.9199829101562,1485.819800845253,832.3472785132127
eta Cir,226.2006054007453,-64.0315313381619,663.3900146484375,1312.81005859375,663.6018462508187,1311.7451005484154
eta Cru,181.72006478701158,-64.61366514078776,827.719970703125,732.9199829101562,827.1887805399467,731.2386132309894
eta Mus,198.8120609028493,-67.8946090766059,822.5499877929688,969.1400146484375,822.3726911197946,967.6404504277249
eta Vol,125.51900945826014,-73.4003904147678,1513.1700439453125,645.8699951171875,1513.1119653764545,643.1021712865315
gamma Aps,248.3633485295512,-78.89705352105035,1196.43994140625,1399.989990234375,1197.1537064658226,1398.2325861232835
gamma Cen,190.37917099776772,-48.95963965182834,326.9800109863281,610.2000122070312,325.9020725806911,609.18197396298
gamma Cha,158.86673132159748,-78.60766514078776,1301.1600341796875,883.760009765625,1301.229575308151,881.4899857942731
gamma Cir,230.84455986929405,-59.32077676052517,517.3900146484375,1412.25,517.6734568126353,1411.4442815820612
gamma Cru,187.79146419856744,-57.11319291856554,581.3499755859375,688.739990234375,580.5672401175475,687.3991937360274
gamma Mus,188.11663966959622,-72.13294647894965,989.6799926757812,918.1099853515625,989.5379276254891,916.3281351718159
gamma TrA,229.7273802831117,-68.67941412353515,819.3200073242188,1338.969970703125,819.680847636379,1337.7035004815652
iota Car,139.27250889830805,-59.275305301242405,1246.1400146484375,216.9600067138672,1245.227206088275,214.1881081393051
iota Cha,141.03807307452104,-80.78708282470703,1432.739990234375,905.8400268554688,1432.9650574334605,903.4110466714691
iota Cru,191.40779975015948,-60.98122273084852,661.7999877929688,795.4099731445312,661.2426587653902,794.0252614076039
iota Lup,214.85091718538106,-46.05786034817166,66.5999984741211,1102.699951171875,66.16754572573564,1102.381375097746
iota Oct,193.74474417134934,-85.12327981228299,1364.6400146484375,1141.1500244140625,1365.121747741356,1138.9858787249277
iota1 musca,201.27989938240918,-74.88772018771701,1026.31005859375,1061.25,1026.4090957895796,1059.521316728797
kappa Cha,181.19350653664813,-76.51908689371744,1140.6700439453125,942.1900024414062,1140.6886297106023,940.2017814677401
kappa Cru,193.45445061879792,-60.37683155314128,631.6099853515625,815.7899780273438,631.0596079384884,814.4653566489195
kappa Oct,205.23249196518165,-85.78597171359593,1378.6800537109375,1178.0899658203125,1379.2239587300983,1175.9346333824997
kappa TrA,238.87300115168327,-68.6031095852322,844.25,1452.68994140625,844.7896325503953,1451.448316240624
kappa Vel,140.52852876839043,-55.01069444444445,1181.1800537109375,83.91999816894531,1180.01575046386,81.10993072544466
kappa1 aps,232.87817532375408,-73.38960907660591,977.3499755859375,1342.77001953125,977.8288882416987,1341.2855251521537
kappa1 lupus,227.99009908128576,-48.74366692097982,144.3699951171875,1414.8599853515625,144.6892390059843,1414.7001316617386
kappa1 volans,124.95434230279643,-71.51497222222223,1517.719970703125,581.780029296875,1517.5832771036264,578.9358677675012
kappa2 aps,235.08836502720928,-73.44672323947482,984.8300170898438,1363.5699462890625,985.3411929890877,1362.0894346002985
kappa2 lupus,227.9835542951962,-48.7378058098687,144.5800018310547,1414.97998046875,144.46870589031982,1414.573532208572
kappa2 volans,125.01894280225923,-71.49669088406033,1517.1500244140625,581.47998046875,1516.8149654473896,578.3576560936447
lambda Cen,173.94503962466914,-63.01974974568685,854.2000122070312,618.3499755859375,853.5202798560501,616.5461149059372
lambda Cru,193.66310723423211,-59.146529557969835,595.2000122070312,803.3200073242188,594.5960260136286,802.0385487229178
lambda Lup,227.2107621088843,-45.279805301242405,14.069999694824219,1413.2900390625,14.116586153271555,1413.1886953867568
lambda Mus,176.40160907407477,-66.72869495307074,921.219970703125,717.7100219726562,920.7434566055224,715.8872155215378
mu chameleon,150.18135431448184,-82.21466361490886,1406.52001953125,965.5499877929688,1406.8072274326314,963.1920902051182
mu1 crucis,193.65341295209947,-57.16822349378798,538.8499755859375,778.3200073242188,537.8671356029021,777.0703972675242
mu2 crucis,193.6483887560307,-57.177779049343535,538.5399780273438,778.280029296875,538.1770342788578,777.11283928226
nu Cha,146.58804841120494,-76.77605911593967,1350.5400390625,791.9099731445312,1350.510313980998,789.5098209148183
nu1 lupus,230.53464862247418,-47.927890160454645,117.1500015258789,1482.6600341796875,117.35587862028547,1482.445811166869
nu2 lupus,230.45082203274825,-48.317637871636286,131.60000610351562,1477.8199462890625,131.78805260883973,1477.5783916491928
omega Car,153.43423302052125,-70.03788838026259,1194.050048828125,624.1099853515625,1193.6627902908162,621.7947440648567
omega Oct,227.7843861644706,-84.78755504692926,1345.75,1240.1700439453125,1346.3609935852437,1238.1017712317898
omicron Hya,175.05331646872963,-34.74463914320204,108.66000366210938,5.699999809265137,106.47656897893512,4.531159280477368
omicron1 centaurus,172.94223590663074,-59.4422510172526,780.989990234375,532.6300048828125,780.1232041972042,530.8658613200257
omicron2 centaurus,172.95276338877483,-59.51566666666667,782.5800170898438,534.3099975585938,781.7178386958201,532.5362454842084
phi Vel,149.21560300095052,-54.56769342719184,1017.0499877929688,146.47000122070312,1015.8247339349837,143.98075619499946
pi Cen,170.25200384602743,-54.49100025431315,698.5999755859375,390.6300048828125,697.4549553153181,388.870553203873
pi Cha,174.31445218688202,-75.89647018771701,1157.4100341796875,888.9600219726562,1157.3612012051185,886.9020306514615
pi1 octantis,225.45891240485898,-83.22752828640408,1290.3499755859375,1238.3299560546875,1290.898697617094,1236.3266925830635
pi2 octantis,226.1944605506612,-83.03819393581814,1284.4100341796875,1242.0400390625,1284.965471762385,1240.0578201090873
rho Cen,182.91302808023104,-52.3685537753635,498.20001220703125,535.4400024414062,497.1198516912557,534.1058666252998
rho Lup,219.47158954303245,-49.42561238267687,173.75999450683594,1214.3900146484375,173.55010043992525,1213.9754636283797
rho Oct,235.82038873696328,-84.46524694824218,1342.5,1268.25,1343.1476956221904,1266.2053931173461
sigma Cen,187.01007755413792,-50.23077828640408,396.92999267578125,568.5900268554688,395.84110987872214,567.4450273152723
sigma Lup,218.1538670461057,-50.45700076293945,212.30999755859375,1185.5799560546875,212.08025767410163,1185.0949728454436
tau Cen,189.42564689440374,-48.54122171359592,323.94000244140625,586.030029296875,322.8328876553028,585.0022555857198
tau1 lupus,216.53431117646954,-45.22138939751519,30.299999237060547,1141.5400390625,29.905956687712887,1141.2902563969305
tau2 lupus,216.54505945661663,-45.37938710869683,36.040000915527344,1142.0799560546875,35.653449789289425,1141.8242982416787
theta Aps,211.3323743191273,-76.79672171359591,1072.4100341796875,1152.550048828125,1072.6789410491224,1150.816103627141
theta Car,160.73885344726872,-64.39438685438368,1018.97998046875,524.3300170898438,1018.3026597524577,522.1919332861305
theta Cir,224.18336232650933,-62.780833079020184,620.6799926757812,1286.239990234375,620.8359256195788,1285.2241068781093
theta Mus,197.02916200039908,-65.3062530517578,754.0599975585938,920.8400268554688,753.7508146758335,919.4105287287186
theta Vol,129.7714257382932,-70.3868590766059,1458.1700439453125,549.25,1457.935033421435,546.464704185792
theta1 crucis,180.75646146608844,-63.312888125949435,802.0900268554688,699.1199951171875,801.4911237424026,697.459542256906
theta2 crucis,181.07983305909252,-63.16561263699002,795.760009765625,700.2000122070312,795.1543291383667,698.5428982342171
upsilon Car,146.7779205323821,-65.07244342719184,1198.449951171875,443.4200134277344,1197.788343741533,440.9683569037843
upsilon1 centaurus,209.66986032032455,-44.80352701483832,45.66999816894531,974.3800048828125,45.016806867773994,974.0129825608044
upsilon2 centaurus,210.43092521647597,-45.603470696343315,69.91000366210938,996.6500244140625,69.29758389721292,996.2651581626349
xi1 centaurus,195.88818205589104,-49.52733307902018,295.4100036621094,722.3900146484375,294.4959827292514,721.5075601608798
xi2 centaurus,196.72753025911376,-49.90616819254557,300.3999938964844,743.0499877929688,299.5168931589692,742.1732771323159
