starname,ra_act,dec_act,x_img_my3,y_img_my3,x_act_my3,y_act_my3
alpha Aps,221.96514474094425,-79.0447494913737,283.6099853515625,1178.219970703125,279.31431021361755,1175.0577766312965
alpha Cir,220.6167979775984,-64.97855606418186,278.6000061035156,719.72998046875,277.0105289696619,715.6773918822003
alpha Lup,220.48245447118114,-47.38816844685872,264.4800109863281,131.10000610351562,266.0180288827805,125.56501402883521
alpha Mus,189.2956426966246,-69.13544240993923,627.9099731445312,926.030029296875,625.7645150788571,924.2905006003919
alpha Vol,135.61180710953008,-66.39616463216146,1087.550048828125,1382.1300048828125,1083.7813579930846,1383.9362364267377
alpha1 centaurus,219.90067172406194,-60.835359839545355,286.45001220703125,586.2899780273438,285.4655040315906,581.8917272989668
alpha1 crucis,186.64975937004945,-63.09902650621202,745.530029296875,775.6799926757812,744.4744491650259,774.284919310941
alpha2 centaurus,219.90067172406194,-60.835359839545355,286.44000244140625,586.2999877929688,285.4655040315906,581.8917272989668
alpha2 crucis,186.64975937004945,-63.09902650621202,745.489990234375,775.6699829101562,744.4744491650259,774.284919310941
beta Car,138.3003252806887,-69.71719495307075,971.27001953125,1375.7099609375,967.289989998322,1376.8405375220534
beta Cen,210.95605869481992,-60.372970442030166,430.67999267578125,582.280029296875,430.03626420065257,578.6829643286187
beta Cha,184.58599040717678,-79.31216971842449,503.739990234375,1234.1300048828125,499.5946828672247,1232.3264261075308
beta Cir,229.3784836077583,-58.801249237060546,117.5,528.9299926757812,116.491324154028,523.458491566408
beta Cru,191.93035864046823,-59.68869546169705,723.3200073242188,645.9400024414062,722.943925387955,644.1484487173848
beta Hya,178.22729696311058,-33.90791819254557,1435.449951171875,45.939998626708984,1440.0753333236967,46.8268745373407
beta Mus,191.57039290296333,-68.10816514078776,618.6199951171875,885.8499755859375,616.6754609151532,883.9815044960434
beta Vol,126.43411637251964,-66.13699796549479,1122.550048828125,1513.1099853515625,1118.1013283848702,1515.3783291211093
delta Cen,182.08971064522768,-50.72241717529297,1013.25,483.4800109863281,1014.4396521896466,482.9647037116121
delta Cir,229.23637884323486,-60.95741742960612,132.6699981689453,599.7999877929688,131.29017070885902,594.556957877511
delta Cru,183.78614005049457,-58.74883358764649,851.0800170898438,681.219970703125,850.7894808206532,680.2178279803558
delta Mus,195.56793912892974,-71.54891615804037,536.3300170898438,969.0800170898438,533.7317065594998,966.9154133286524
delta Oct,216.72858842312823,-83.66780301242405,311.8699951171875,1334.81005859375,306.7512361345812,1332.1182409327275
delta Vel,131.17596767640813,-54.70827854071723,1510.6199951171875,1382.0,1507.735520119304,1386.2071560076472
delta1 aps,245.08659031118498,-78.69580657280817,130.36000061035156,1213.7099609375,125.54398288404855,1209.7465629337466
delta1 chamaeleontis,161.31531038289378,-80.46972273084853,575.0999755859375,1354.25,570.4201523551649,1353.0948665642077
delta2 aps,245.1116404695278,-78.66733079020182,129.77000427246094,1212.9200439453125,124.96087511080623,1208.959903968531
delta2 chamaeleontis,161.4436648446503,-80.5402494913737,572.7899780273438,1355.1500244140625,568.110189699094,1353.9882407145583
epsilon Aps,215.59448488129303,-80.10888736300998,322.70001220703125,1211.8499755859375,318.29297365864954,1208.9743171781447
epsilon Car,125.62847110975814,-59.5095,1359.969970703125,1513.3199462890625,1356.027243774608,1516.9306329591393
epsilon Cen,204.9719728150377,-53.46630631849501,572.3499755859375,385.6300048828125,573.1226482467521,382.4048200330337
epsilon Cha,179.90521683012415,-78.22188939751518,548.27001953125,1219.719970703125,544.2976348051174,1218.1446743961283
epsilon Cir,229.41185326821497,-63.610498474121094,145.30999755859375,686.72998046875,143.48433212133887,681.7474986582038
epsilon Cru,185.3397773012286,-60.40122374810113,803.7000122070312,712.6300048828125,803.1280215463637,711.4332137510839
epsilon Mus,184.3922355739465,-67.96071917046442,694.6300048828125,920.9199829101562,692.6465034186896,919.5422018041736
epsilon TrA,234.17990871246207,-66.31719342719184,95.63999938964844,787.3900146484375,93.14581496988421,782.348708912254
eta Aps,214.55670759277604,-81.00761111111112,326.57000732421875,1242.449951171875,322.00716010930364,1239.6574325686752
eta Cha,130.33206603512306,-78.9634691704644,685.219970703125,1514.280029296875,679.8615129066535,1514.0695966983376
eta Cir,226.2006054007453,-64.0315313381619,195.6699981689453,694.3300170898438,193.89967887237708,689.6441090600767
eta Cru,181.72006478701158,-64.61366514078776,778.5700073242188,850.8099975585938,777.165391188104,849.7701316641198
eta Mus,198.8120609028493,-67.8946090766059,542.010009765625,848.9600219726562,540.10784875998,846.5795371932438
gamma Aps,248.3633485295512,-78.89705352105035,112.9800033569336,1231.25,108.02079367464785,1227.2233781590471
gamma Cen,190.37917099776772,-48.95963965182834,893.8599853515625,349.95001220703125,895.547712881458,348.46516844399343
gamma Cha,158.86673132159748,-78.60766514078776,633.7000122070312,1328.760009765625,629.286882380238,1327.8888110364378
gamma Cir,230.84455986929405,-59.32077676052517,94.55000305175781,549.6599731445312,93.37369872541285,544.100055484563
gamma Cru,187.79146419856744,-57.11319291856554,819.25,604.0800170898438,819.3234133388344,602.7294495365772
gamma Mus,188.11663966959622,-72.13294647894965,595.22998046875,1015.8400268554688,592.5089233641629,1014.1014877626753
