starname,ra_act,dec_act,x_img_px3,y_img_px3,x_act_px3,y_act_px3
beta_cen,210.955856323242,-60.3730392456055,1043.64034315,521.759530002,1043.8570197295653,523.8780068350633
gamma_mus,188.116729736328,-72.1329879760742,584.91395476,565.165098009,585.1746784993204,564.6667465873538
alpha_mus,189.295913696289,-69.1355667114258,661.944479169,620.61370432,661.8764892192726,619.8664258335033
beta_mus,191.570022583008,-68.1081161499023,704.003690732,621.377062214,702.7156236393756,621.7948977788838
epsilon_cen,204.971908569336,-53.4663925170898,1194.88418282,712.45259474,1194.9547021191665,712.4034129683624
zeta_cen,208.88493347168,-47.2883758544922,1419.7932966,732.695004649,1418.924451878953,733.4460488105825
zeta_cru,184.609344482422,-64.0030670166016,735.078878026,773.205971093,734.1790339485808,772.2442523013381
alpha_cru,186.649566650391,-63.0990905761719,774.42234165,774.043810691,773.6709797065861,772.745183650549
beta_cru,191.930267333984,-59.6887626647949,905.086894108,788.003455956,903.9972074305698,786.6069434462054
mu1_cru,193.6484375,-57.1779174804688,983.033304376,816.451769054,982.1806777324708,814.8113220399753
beta_car,138.299896240234,-69.7172088623047,141.681704783,828.650470335,141.04820747362157,826.1695908090605
delta_cru,183.786315917969,-58.7489280700684,836.729005363,901.414099844,835.6247150046456,899.548204144425
theta_car,160.739273071289,-64.3944778442383,457.699312319,937.403130112,455.30863466591643,935.2189157190104
p_car,158.00617980957,-61.685359954834,450.272881592,1031.89957569,447.60429287458174,1029.6968205052217
sigma_cen,187.009918212891,-50.2306365966797,1066.22604248,1055.85531002,1064.9421923391137,1053.3325122262522
rho_cen,182.912979125977,-52.3684501647949,959.799541792,1062.06562382,958.9090698085695,1059.084030182085
i_car,137.819671630859,-62.3169784545898,133.037909902,1074.32248723,132.38654090780528,1070.997041563496
delta_cen,182.089630126953,-50.7224273681641,983.373391991,1112.63288508,981.923827663544,1109.7485478201213
pi_cen,170.251708984375,-54.4910316467285,730.847846234,1149.8364561,728.7044604018097,1146.7668754035851
a_car,137.742034912109,-58.9668922424316,132.170944328,1186.63584156,129.61512084983644,1184.9943062456211
kappa Vel,140.52852876839043,-55.01069444444445,187.725436145,1319.13522314,185.69253146,1317.94678021
